customer_id,first_name,email,loyalty_status,total_loyalty_points,last_purchase_date,segment_id,customer_phone,customer_since
1,Ishaan,customer1@example.com,Bronze,0,,,9013989052,2024-02-04
2,Shaurya,invalid_email,Bronze,0,,,9738564105,2022-09-29
1,Ishaan,customer3@example.com,Bronze,0,,,9082604434,2022-08-05
4,Shaurya,customer4@example.com,Bronze,0,,,9420274616,2022-04-12
5,Aarohi,customer5@example.com,Bronze,0,,,9282061425,2024-12-24
6,Shaurya,customer6@example.com,Bronze,0,,,9910334399,2016-02-09
7,Ishaan,customer7@example.com,Bronze,0,,,9713869078,2017-06-29
8,Aarav,customer8@example.com,Bronze,0,,,9581878759,2015-07-30
9,Ananya,customer9@example.com,Bronze,0,,,9941872451,2024-05-17
10,Diya,customer10@example.com,Bronze,0,,,9800733670,2017-09-23
11,Aarohi,customer11@example.com,Bronze,0,,,9675608436,2017-02-01
12,Sara,customer12@example.com,Bronze,0,,,9686524637,2023-01-16
13,Ira,customer13@example.com,Bronze,0,,,9000885621,2019-02-15
14,Diya,customer14@example.com,Bronze,0,,,9456374334,2015-02-04
15,Ishaan,customer15@example.com,Bronze,0,,,9514185526,2019-04-05
16,Myra,customer16@example.com,Bronze,0,,,9361491825,2019-09-14
17,Krishna,customer17@example.com,Bronze,0,,,9212677833,2019-10-12
18,Shaurya,customer18@example.com,Bronze,0,,,9135008656,2021-05-22
19,Ananya,customer19@example.com,Bronze,0,,,9825298333,2023-09-06
20,Shaurya,customer20@example.com,Bronze,0,,,12345,2016-09-25
21,Aadhya,customer21@example.com,Bronze,0,,,9890730244,2015-09-23
22,Aarohi,customer22@example.com,Bronze,0,,,9284841638,2016-03-26
23,Vihaan,customer23@example.com,Bronze,-10,,,9866709398,2018-01-21
24,Prisha,customer24@example.com,Bronze,0,,,9323713135,2023-05-07
25,Anika,customer25@example.com,Bronze,0,,,9664988171,2021-11-28
26,Reyansh,customer26@example.com,Bronze,0,,,9113483688,2015-06-13
27,Reyansh,customer27@example.com,Bronze,0,,,9808296821,2019-11-04
28,Shaurya,customer28@example.com,Bronze,0,,,9288621019,2018-10-14
29,Shaurya,customer29@example.com,Bronze,0,,,9401699558,2017-03-19
30,Arjun,customer30@example.com,Bronze,0,,,9827856034,2019-03-10
31,Diya,customer31@example.com,Bronze,0,,,9021060103,2024-09-21
32,Sai,customer32@example.com,Bronze,0,,,9703776820,2020-07-03
33,Diya,customer33@example.com,Bronze,0,,,9956719397,2018-01-05
34,Reyansh,customer34@example.com,Bronze,0,,,9544574835,2023-04-04
35,Krishna,customer35@example.com,Bronze,0,,,9553097205,2018-04-19
36,Aarav,customer36@example.com,Bronze,0,,,9451580375,2018-12-30
37,Sara,customer37@example.com,Bronze,0,,,9187375716,2022-07-28
38,Aditya,customer38@example.com,Bronze,0,,,9971686725,2016-08-10
39,Krishna,customer39@example.com,Bronze,-10,,,9042155216,2020-05-19
40,Ananya,customer40@example.com,Bronze,0,,,9409511972,2019-05-28
41,Myra,customer41@example.com,Bronze,0,,,9691867669,2015-10-21
42,Aditya,customer42@example.com,Bronze,0,,,9746936151,2016-10-16
43,Ishaan,customer43@example.com,Bronze,0,,,9668674081,2016-12-14
44,Diya,customer44@example.com,Bronze,0,,,9962911128,2022-01-09
45,Vivaan,customer45@example.com,Bronze,-10,,,9245623464,2024-06-03
